msa,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income
"Brownsville, TN Micro Area",8.5,3.5,26.4,44890,31760
"Brownsville-Harlingen, TX Metro Area",5.7,7.2,20.3,47435,28441
"Brownwood, TX Micro Area",3.8,4.2,18.1,53792,33926
"Brunswick, GA Metro Area",4.2,6.9,22.2,60777,35767
"Bucyrus-Galion, OH Micro Area",5.5,4.6,24.1,52486,35739
"Buffalo-Cheektowaga, NY Metro Area",5.1,9.4,21.5,67638,42363
"Burley, ID Micro Area",3.1,5.3,16.3,63555,34466
"Burlington, IA-IL Micro Area",3.6,4.2,18.3,58890,36890
"Burlington, NC Metro Area",5.0,8.4,25.9,60866,37142
"Burlington-South Burlington, VT Metro Area",3.8,14.1,22.8,86183,44211
"Butte-Silver Bow, MT Micro Area",4.6,6.4,16.6,56297,32641
"Cadillac, MI Micro Area",6.5,4.8,23.0,58374,34353
"Calhoun, GA Micro Area",3.0,6.5,23.4,57555,36385
"California-Lexington Park, MD Metro Area",3.7,13.7,30.1,113668,60329
"Cambridge, MD Micro Area",5.5,6.8,26.5,57490,34958
"Cambridge, OH Micro Area",4.6,3.1,22.9,53901,34202
"Camden, AR Micro Area",6.9,1.7,23.1,50152,34051
"Campbellsville, KY Micro Area",6.1,9.3,24.7,56136,33829
"Cañon City, CO Micro Area",4.8,11.2,26.3,56165,36973
"Canton-Massillon, OH Metro Area",4.3,9.0,22.1,62859,37323
"Cape Coral-Fort Myers, FL Metro Area",4.5,11.4,27.9,69368,37291
"Cape Girardeau, MO-IL Metro Area",3.6,6.6,21.6,62671,34117
"Carbondale-Marion, IL Metro Area",5.8,6.9,22.1,53747,34060
"Carlsbad-Artesia, NM Micro Area",4.2,5.6,19.9,77458,45105
"Carroll, IA Micro Area",1.9,6.0,14.3,68041,42114
"Carson City, NV Metro Area",4.7,6.9,21.1,67465,38574
"Casper, WY Metro Area",3.5,7.9,17.6,69104,41776
"Cedar City, UT Micro Area",3.3,9.9,15.9,63005,28518
"Cedar Rapids, IA Metro Area",3.6,11.4,19.9,75477,43889
"Cedartown, GA Micro Area",4.8,4.6,30.2,51956,35446
"Celina, OH Micro Area",2.0,3.2,19.0,73278,41794
"Central City, KY Micro Area",4.9,2.3,25.6,50935,36634
"Centralia, IL Micro Area",8.1,4.8,19.8,59099,35632
"Centralia, WA Micro Area",6.3,7.5,28.0,67247,39823
"Chambersburg-Waynesboro, PA Metro Area",3.4,8.0,24.1,71808,42472
"Champaign-Urbana, IL Metro Area",4.8,11.2,17.7,62281,34714
"Charleston, WV Metro Area",5.8,7.0,24.8,54473,37324
"Charleston-Mattoon, IL Micro Area",6.0,6.0,18.4,56476,31830
"Charleston-North Charleston, SC Metro Area",4.1,10.7,27.1,77460,44726
"Charlotte-Concord-Gastonia, NC-SC Metro Area",4.7,16.1,26.8,76177,43712
"Charlottesville, VA Metro Area",3.6,16.9,23.7,86188,44024
"Chattanooga, TN-GA Metro Area",4.5,10.2,23.8,65387,38547
"Cheyenne, WY Metro Area",3.5,7.5,17.2,76282,43148
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",6.2,13.4,31.0,85087,46819
"Chico, CA Metro Area",7.1,10.7,21.4,66085,34068
"Chillicothe, OH Micro Area",5.7,3.9,27.4,58048,40373
"Cincinnati, OH-KY-IN Metro Area",4.4,11.2,25.1,76247,43318
"Clarksburg, WV Micro Area",6.0,6.2,24.0,55838,37121
"Clarksdale, MS Micro Area",10.8,7.4,19.9,36075,26851
"Clarksville, TN-KY Metro Area",6.2,5.5,25.2,62188,37192
"Clearlake, CA Micro Area",10.4,14.6,31.0,56259,34898
"Cleveland, MS Micro Area",7.4,2.6,19.2,37845,28382
"Cleveland, TN Metro Area",5.7,5.6,24.0,60001,35346
"Cleveland-Elyria, OH Metro Area",5.9,11.0,24.5,66481,42298
"Clewiston, FL Micro Area",5.8,5.5,30.2,49259,31904
"Clinton, IA Micro Area",4.4,5.8,20.0,61080,38631
"Clovis, NM Micro Area",7.9,2.7,16.6,55427,33649
"Coamo, PR Micro Area",7.4,3.9,25.7,20569,17201
"Coco, PR Micro Area",6.0,6.0,25.9,20123,16708
"Coeur d'Alene, ID Metro Area",3.1,11.7,22.5,71949,38621
"Coffeyville, KS Micro Area",4.7,3.4,17.5,51513,31490
"Coldwater, MI Micro Area",4.9,5.0,22.1,60600,35925
"College Station-Bryan, TX Metro Area",4.7,8.6,19.0,58659,30267
"Colorado Springs, CO Metro Area",5.6,13.4,23.8,82334,42128
"Columbia, MO Metro Area",4.0,7.5,19.7,65863,36007
"Columbia, SC Metro Area",5.7,8.2,25.1,63471,37617
"Columbus, GA-AL Metro Area",6.9,6.8,22.2,55720,35064
"Columbus, IN Metro Area",3.6,10.8,19.7,76912,43250
"Columbus, MS Micro Area",6.2,5.0,20.8,53687,36270
"Columbus, NE Micro Area",1.9,5.3,14.1,69943,40662
"Columbus, OH Metro Area",4.2,14.3,23.9,76541,44805
"Concord, NH Micro Area",3.6,12.1,26.8,88806,46674
"Connersville, IN Micro Area",4.5,3.3,27.7,52219,34324
"Cookeville, TN Micro Area",4.6,6.4,23.2,52638,33232
"Coos Bay, OR Micro Area",5.8,7.3,19.6,57563,33403
"Cordele, GA Micro Area",8.2,6.5,20.8,47463,33755
"Corinth, MS Micro Area",6.4,1.7,22.8,47716,31684
"Cornelia, GA Micro Area",2.3,7.6,26.9,61292,32068
"Corning, NY Micro Area",6.3,7.0,22.1,62506,39811
"Corpus Christi, TX Metro Area",5.5,4.6,20.5,64005,38356
"Corsicana, TX Micro Area",5.6,6.0,26.9,56261,31667
"Cortland, NY Micro Area",5.4,6.3,21.7,65029,35089
"Corvallis, OR Metro Area",6.8,14.6,19.8,72882,28722
"Coshocton, OH Micro Area",6.1,6.0,25.3,52048,34505
"Craig, CO Micro Area",5.4,4.3,25.4,63983,40645
"Crawfordsville, IN Micro Area",4.0,6.1,22.4,62937,39064
"Crescent City, CA Micro Area",6.3,6.9,17.2,61149,33059
"Crestview-Fort Walton Beach-Destin, FL Metro Area",3.8,9.7,26.3,74279,39555
"Crossville, TN Micro Area",5.7,6.8,22.4,56002,33961
"Cullman, AL Micro Area",4.3,2.6,26.2,58119,33900
"Cullowhee, NC Micro Area",6.3,5.8,19.9,51758,29658
"Cumberland, MD-WV Metro Area",6.5,7.0,23.4,57539,34909
"Dallas-Fort Worth-Arlington, TX Metro Area",4.6,13.7,28.0,83398,45358
"Dalton, GA Metro Area",6.0,3.9,22.5,60017,35081
"Danville, IL Metro Area",6.7,8.0,20.3,52787,37290
"Danville, KY Micro Area",6.4,7.8,26.2,53228,34698
"Danville, VA Micro Area",5.6,4.7,23.5,46853,32991
"Daphne-Fairhope-Foley, AL Metro Area",3.4,9.1,26.6,71039,39109
"Davenport-Moline-Rock Island, IA-IL Metro Area",4.8,6.9,20.6,68395,41045
"Dayton, TN Micro Area",7.9,4.7,27.0,55568,32751
"Dayton-Kettering, OH Metro Area",5.3,8.9,22.0,67088,39751
"Decatur, AL Metro Area",3.9,4.4,24.9,60036,36365
"Decatur, IL Metro Area",7.2,6.1,18.7,59622,39428
"Decatur, IN Micro Area",3.2,5.6,22.7,61731,38655
"Defiance, OH Micro Area",4.9,4.0,21.1,69302,40240
"Del Rio, TX Micro Area",3.4,2.9,18.4,57250,31745
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",4.1,12.1,26.9,64197,37279
"Deming, NM Micro Area",7.0,6.6,21.6,38241,25034
"Denver-Aurora-Lakewood, CO Metro Area",4.3,18.4,27.5,96920,52179
"DeRidder, LA Micro Area",8.1,3.3,32.7,68525,42767
"Des Moines-West Des Moines, IA Metro Area",4.1,12.7,20.8,81103,47030
"Detroit-Warren-Dearborn, MI Metro Area",6.6,11.8,26.5,72456,42843
"Dickinson, ND Micro Area",2.8,6.7,17.2,78608,47447
"Dixon, IL Micro Area",3.5,4.9,24.0,64588,40232
"Dodge City, KS Micro Area",3.2,2.1,12.9,67997,39021
"Dothan, AL Metro Area",4.8,4.0,23.8,54171,35300
"Douglas, GA Micro Area",4.3,2.0,19.3,46936,32336
"Dover, DE Metro Area",6.0,6.4,26.7,69278,39186
"Dublin, GA Micro Area",6.4,3.3,26.9,46411,33862
"DuBois, PA Micro Area",6.0,6.5,25.9,56982,35389
"Dubuque, IA Metro Area",4.1,9.7,17.1,73495,40612
"Duluth, MN-WI Metro Area",4.4,8.0,20.4,67612,38215
"Dumas, TX Micro Area",2.5,1.3,16.6,59041,39352
"Duncan, OK Micro Area",4.9,4.1,23.7,57065,35897
"Durango, CO Micro Area",3.2,15.7,21.0,81936,41397
"Durant, OK Micro Area",4.8,5.5,20.1,54289,34350
"Durham-Chapel Hill, NC Metro Area",4.0,17.4,24.6,76040,42438
"Dyersburg, TN Micro Area",4.5,3.9,20.4,53150,36852
"Eagle Pass, TX Micro Area",7.1,4.8,23.1,48497,31359
"Easton, MD Micro Area",3.2,14.1,26.4,81667,44991
"East Stroudsburg, PA Metro Area",6.3,9.0,39.8,80656,38423
"Eau Claire, WI Metro Area",3.2,9.9,19.4,70009,37365
"Edwards, CO Micro Area",4.4,12.6,22.1,98887,46602
"Effingham, IL Micro Area",2.5,10.4,17.9,73181,41680
"El Campo, TX Micro Area",5.7,3.6,25.0,59712,36950
"El Centro, CA Metro Area",13.2,5.9,22.7,53847,30547
"El Dorado, AR Micro Area",3.7,5.3,19.1,49745,36092
"Elizabeth City, NC Micro Area",5.6,6.8,30.0,60668,39114
"Elizabethtown-Fort Knox, KY Metro Area",5.9,6.4,24.9,64111,40150
"Elk City, OK Micro Area",6.2,3.1,19.0,51499,34051
"Elkhart-Goshen, IN Metro Area",3.8,4.9,19.2,63978,37896
"Elkins, WV Micro Area",7.3,4.7,21.5,51186,30605
"Elko, NV Micro Area",4.7,4.7,29.0,87631,46786
"Ellensburg, WA Micro Area",5.9,11.5,23.5,66800,37556
"Elmira, NY Metro Area",6.3,5.9,20.0,61358,37528
"El Paso, TX Metro Area",6.8,6.7,24.2,55344,30834
"Emporia, KS Micro Area",2.6,4.8,15.4,56068,31536
"Enid, OK Metro Area",4.6,4.4,18.5,64165,35134
"Enterprise, AL Micro Area",4.8,3.1,23.1,62199,34627
"Erie, PA Metro Area",5.5,7.1,19.9,59396,34765
"Escanaba, MI Micro Area",5.2,5.1,19.0,53852,32742
"Española, NM Micro Area",6.0,7.9,28.6,52031,37716
"Eufaula, AL-GA Micro Area",7.0,3.9,25.9,39599,30578
"Eugene-Springfield, OR Metro Area",6.7,12.4,20.0,65157,33552
"Eureka-Arcata, CA Micro Area",9.2,10.9,18.9,57881,31207
"Evanston, WY Micro Area",3.4,4.8,20.4,78164,32447
"Evansville, IN-KY Metro Area",4.1,5.6,20.9,64084,39554
"Fairbanks, AK Metro Area",5.5,6.1,19.2,81655,46141
"Fairfield, IA Micro Area",5.2,15.3,16.2,52210,29063
"Fairmont, MN Micro Area",5.2,8.0,17.6,61674,40359
"Fairmont, WV Micro Area",6.4,7.2,24.3,59974,37591
"Fallon, NV Micro Area",6.3,5.1,22.8,69922,41292
"Fargo, ND-MN Metro Area",3.1,7.8,18.0,73641,41725
"Faribault-Northfield, MN Micro Area",5.3,13.4,22.4,78214,36335
"Farmington, MO Micro Area",4.8,5.4,25.5,53083,33222
"Farmington, NM Metro Area",8.9,4.8,24.2,50734,32904
"Fayetteville, NC Metro Area",7.1,5.6,24.8,57488,34936
"Fayetteville-Springdale-Rogers, AR Metro Area",3.5,11.2,20.8,73316,40442
"Fergus Falls, MN Micro Area",5.3,10.0,21.5,67990,40446
"Fernley, NV Micro Area",7.2,7.1,29.8,70026,41417
"Findlay, OH Micro Area",3.7,6.8,17.9,67006,40370
"Fitzgerald, GA Micro Area",5.0,2.9,15.6,38255,29929
"Flagstaff, AZ Metro Area",7.0,9.5,19.2,67266,31389
"Flint, MI Metro Area",8.5,7.4,26.8,58594,34720
"Florence, SC Metro Area",5.1,6.6,22.7,52401,34997
"Florence-Muscle Shoals, AL Metro Area",3.5,5.2,24.6,56113,35355
"Fond du Lac, WI Metro Area",3.3,7.2,20.6,70368,42012
"Forest City, NC Micro Area",6.0,5.6,25.4,50512,32995
"Forrest City, AR Micro Area",6.6,2.5,20.2,39822,28699
"Fort Collins, CO Metro Area",4.6,17.4,23.3,87199,42552
"Fort Dodge, IA Micro Area",3.2,4.1,18.3,65335,36676
"Fort Leonard Wood, MO Micro Area",4.7,4.4,18.5,62541,31040
"Fort Madison-Keokuk, IA-IL-MO Micro Area",4.5,6.5,22.2,58590,35886
"Fort Morgan, CO Micro Area",3.7,7.2,20.9,70471,40418
"Fort Payne, AL Micro Area",3.9,3.8,25.2,47920,31564
"Fort Polk South, LA Micro Area",6.1,4.7,22.8,56547,36540
"Fort Smith, AR-OK Metro Area",5.2,5.0,21.5,53224,34249
"Fort Wayne, IN Metro Area",4.8,7.3,21.8,66758,39504
"Frankfort, IN Micro Area",3.4,5.8,20.7,59515,36824
"Frankfort, KY Micro Area",4.9,10.5,22.7,64669,38428
"Fredericksburg, TX Micro Area",3.5,9.4,19.9,70162,36463
"Freeport, IL Micro Area",5.3,9.1,22.2,57527,34132
"Fremont, NE Micro Area",4.1,3.6,18.3,66793,41134
"Fremont, OH Micro Area",4.8,3.0,19.6,60814,38165
"Fresno, CA Metro Area",8.6,8.2,23.3,67756,35722
"Gadsden, AL Metro Area",6.0,3.1,24.6,52177,32882
"Gaffney, SC Micro Area",5.9,4.8,25.0,47011,32945
"Gainesville, FL Metro Area",4.9,10.1,23.1,56638,32717
"Gainesville, GA Metro Area",3.9,8.7,27.9,74153,36970
"Gainesville, TX Micro Area",3.9,6.6,24.4,66374,40484
"Galesburg, IL Micro Area",4.9,4.8,21.2,50263,33337
"Gallup, NM Micro Area",9.6,10.4,25.1,44029,30677
"Garden City, KS Micro Area",5.1,3.9,15.0,68481,38568
"Gardnerville Ranchos, NV Micro Area",3.1,10.4,25.2,84262,41925
"Georgetown, SC Micro Area",5.0,9.1,28.4,59782,31562
"Gettysburg, PA Metro Area",3.4,8.5,28.3,78975,38371
"Gillette, WY Micro Area",2.9,5.6,21.4,88151,48331
"Glasgow, KY Micro Area",4.9,6.3,23.0,47855,32662
"Glens Falls, NY Metro Area",4.6,7.3,23.7,71380,42545
"Glenwood Springs, CO Micro Area",2.9,10.5,28.3,86831,42974
"Gloversville, NY Micro Area",4.3,5.4,24.6,60557,37682
"Goldsboro, NC Metro Area",5.0,3.8,21.8,54323,33858
"Granbury, TX Micro Area",5.8,10.0,34.8,80013,44429
"Grand Forks, ND-MN Metro Area",3.4,5.2,16.3,65971,37581
"Grand Island, NE Metro Area",2.8,3.4,19.0,63314,38206
"Grand Junction, CO Metro Area",5.3,12.0,19.6,68077,37530
"Grand Rapids, MN Micro Area",6.2,7.7,24.2,63962,36864
"Grand Rapids-Kentwood, MI Metro Area",4.3,9.5,22.0,76898,40067
"Grants, NM Micro Area",7.3,8.4,22.6,49866,29650
"Grants Pass, OR Metro Area",8.1,10.8,20.2,56068,31545
"Great Bend, KS Micro Area",4.1,7.6,15.2,54634,35070
"Great Falls, MT Metro Area",3.3,6.3,17.0,61351,37407
"Greeley, CO Metro Area",4.9,11.3,28.2,89182,44811
"Green Bay, WI Metro Area",2.7,9.0,20.0,74208,41950
"Greeneville, TN Micro Area",5.4,5.3,23.8,51975,33413
"Greensboro-High Point, NC Metro Area",5.1,8.9,23.0,59567,36037
"Greensburg, IN Micro Area",3.1,7.5,22.5,71566,45651
"Greenville, MS Micro Area",9.5,2.9,19.7,38394,31840
"Greenville, NC Metro Area",7.5,9.1,21.3,54915,35434
"Greenville, OH Micro Area",2.6,5.3,22.3,60237,37917
"Greenville-Anderson, SC Metro Area",4.5,8.9,24.9,66226,38181
"Greenwood, MS Micro Area",10.3,4.1,21.9,35452,29275
"Greenwood, SC Micro Area",5.5,2.7,19.8,47553,34634
"Grenada, MS Micro Area",4.1,1.4,21.2,45745,32701
"Guayama, PR Metro Area",9.4,2.0,28.0,19290,19876
"Gulfport-Biloxi, MS Metro Area",8.0,5.4,25.7,58287,34690
"Guymon, OK Micro Area",2.7,3.3,15.2,55682,33306
"Hagerstown-Martinsburg, MD-WV Metro Area",4.8,8.9,30.5,72751,42895
"Hailey, ID Micro Area",2.4,13.4,18.9,81271,36703
"Hammond, LA Metro Area",5.6,5.4,29.6,55274,33539
"Hanford-Corcoran, CA Metro Area",9.2,4.5,23.1,68540,37052
"Hannibal, MO Micro Area",3.5,6.3,19.2,62527,35283
"Harrisburg-Carlisle, PA Metro Area",4.0,12.2,22.9,76189,44822
"Harrison, AR Micro Area",4.3,9.5,21.0,52078,33013
"Harrisonburg, VA Metro Area",4.3,7.1,20.1,66823,31155
"Hartford-East Hartford-Middletown, CT Metro Area",5.4,13.0,24.0,89371,50306
"Hastings, NE Micro Area",2.7,4.6,16.8,61502,35808
"Hattiesburg, MS Metro Area",6.6,2.5,23.9,55078,31904
"Hays, KS Micro Area",3.3,5.7,13.2,59665,32521
"Heber, UT Micro Area",2.3,18.5,22.9,114857,46537
"Helena, MT Micro Area",3.4,11.6,18.0,72168,42260
"Helena-West Helena, AR Micro Area",13.3,4.5,20.1,37458,35219
"Henderson, NC Micro Area",7.0,8.5,25.3,48340,30567
"Hereford, TX Micro Area",2.1,2.9,17.0,51942,33931
"Hermiston-Pendleton, OR Micro Area",6.3,5.0,19.2,69901,36687
"Hickory-Lenoir-Morganton, NC Metro Area",5.5,5.5,23.9,57943,36275
"Hillsdale, MI Micro Area",4.4,8.5,24.7,59425,34775
"Hilo, HI Micro Area",6.5,10.4,27.5,74238,38608
"Hilton Head Island-Bluffton, SC Metro Area",3.5,10.1,23.6,77536,36481
"Hinesville, GA Metro Area",7.8,5.4,25.0,55427,33931
"Hobbs, NM Micro Area",7.4,3.3,24.5,65855,38890
"Holland, MI Micro Area",3.4,7.4,23.9,75543,41508
"Homosassa Springs, FL Metro Area",7.2,11.0,27.9,52569,32938
"Hood River, OR Micro Area",3.3,15.6,18.4,80254,39066
"Hope, AR Micro Area",5.4,1.2,24.6,44423,33106
"Hot Springs, AR Metro Area",5.7,5.5,21.5,54229,31460
"Houghton, MI Micro Area",6.1,8.9,16.1,52857,24207
"Houma-Thibodaux, LA Metro Area",6.2,3.5,26.7,62443,39392
"Houston-The Woodlands-Sugar Land, TX Metro Area",6.0,10.3,29.8,78061,42784
"Hudson, NY Micro Area",5.9,14.0,25.8,81741,41710
"Huntingdon, PA Micro Area",5.1,5.8,30.5,61300,33922
"Huntington, IN Micro Area",3.4,6.2,22.2,59894,37485
"Huntington-Ashland, WV-KY-OH Metro Area",5.3,5.4,23.9,55964,35556
"Huntsville, AL Metro Area",4.2,10.7,22.8,78521,44516
"Huntsville, TX Micro Area",7.0,7.0,26.5,47193,29797
"Huron, SD Micro Area",2.1,6.0,14.2,64167,38249
"Hutchinson, KS Micro Area",4.2,5.8,18.1,57390,34552
"Hutchinson, MN Micro Area",3.2,6.9,23.8,73296,44020
"Idaho Falls, ID Metro Area",4.1,8.5,21.5,73337,34029
"Indiana, PA Micro Area",6.5,7.2,24.5,57170,29442
"Indianapolis-Carmel-Anderson, IN Metro Area",4.3,11.8,25.4,73571,43449
"Indianola, MS Micro Area",11.1,4.2,19.2,37403,27568
"Iowa City, IA Metro Area",3.7,10.4,20.1,72680,34778
"Iron Mountain, MI-WI Micro Area",4.1,7.9,16.9,59483,38277
"Ithaca, NY Metro Area",4.7,16.0,20.2,69995,36034
"Jackson, MI Metro Area",6.3,8.1,22.7,62581,37045
