"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"    Percent","3.8%","7.2%","(X)","(X)","(X)"
"Augusta-Richmond County, GA-SC Metro Area","","","","",""
"    Estimate","(X)","19,874","24.1","62,941","36,286"
"    Percent","6.4%","7.3%","(X)","(X)","(X)"
"Augusta-Waterville, ME Micro Area","","","","",""
"    Estimate","(X)","7,093","23.9","62,118","39,393"
"    Percent","4.1%","12.0%","(X)","(X)","(X)"
"Austin, MN Micro Area","","","","",""
"    Estimate","(X)","1,123","19.6","66,972","42,388"
"    Percent","3.2%","5.9%","(X)","(X)","(X)"
"Austin-Round Rock-Georgetown, TX Metro Area","","","","",""
"    Estimate","(X)","255,222","27.3","92,939","49,624"
"    Percent","4.3%","20.7%","(X)","(X)","(X)"
"Bainbridge, GA Micro Area","","","","",""
"    Estimate","(X)","227","20.3","47,383","34,886"
"    Percent","6.4%","2.1%","(X)","(X)","(X)"
"Bakersfield, CA Metro Area","","","","",""
"    Estimate","(X)","21,993","23.9","63,883","33,824"
"    Percent","8.4%","6.3%","(X)","(X)","(X)"
"Baltimore-Columbia-Towson, MD Metro Area","","","","",""
"    Estimate","(X)","195,793","30.3","94,167","54,270"
"    Percent","4.9%","13.8%","(X)","(X)","(X)"
"Bangor, ME Metro Area","","","","",""
"    Estimate","(X)","6,779","22.6","59,438","36,303"
"    Percent","4.3%","9.4%","(X)","(X)","(X)"
"Baraboo, WI Micro Area","","","","",""
"    Estimate","(X)","2,592","22.8","72,930","41,327"
"    Percent","2.8%","7.7%","(X)","(X)","(X)"
"Bardstown, KY Micro Area","","","","",""
"    Estimate","(X)","1,024","25.4","66,212","39,648"
"    Percent","2.9%","4.6%","(X)","(X)","(X)"
"Barnstable Town, MA Metro Area","","","","",""
"    Estimate","(X)","14,538","25.0","90,447","45,362"
"    Percent","4.5%","13.1%","(X)","(X)","(X)"
"Barre, VT Micro Area","","","","",""
"    Estimate","(X)","4,920","23.4","77,278","44,997"
"    Percent","3.0%","15.9%","(X)","(X)","(X)"
"Bartlesville, OK Micro Area","","","","",""
"    Estimate","(X)","1,198","20.2","59,426","35,296"
"    Percent","3.8%","5.2%","(X)","(X)","(X)"
"Batavia, NY Micro Area","","","","",""
"    Estimate","(X)","1,499","23.4","68,178","41,080"
"    Percent","4.7%","5.3%","(X)","(X)","(X)"
"Batesville, AR Micro Area","","","","",""
"    Estimate","(X)","943","20.8","48,875","30,717"
"    Percent","5.5%","4.3%","(X)","(X)","(X)"
"Baton Rouge, LA Metro Area","","","","",""
"    Estimate","(X)","23,233","27.4","67,979","41,016"
"    Percent","6.5%","5.9%","(X)","(X)","(X)"
"Battle Creek, MI Metro Area","","","","",""
"    Estimate","(X)","3,751","20.6","58,191","36,554"
"    Percent","6.8%","6.4%","(X)","(X)","(X)"
"Bay City, MI Metro Area","","","","",""
"    Estimate","(X)","3,207","23.1","57,887","35,737"
"    Percent","4.8%","6.8%","(X)","(X)","(X)"
"Bay City, TX Micro Area","","","","",""
"    Estimate","(X)","434","24.9","56,412","36,310"
"    Percent","6.7%","2.9%","(X)","(X)","(X)"
"Beatrice, NE Micro Area","","","","",""
"    Estimate","(X)","735","22.5","60,035","37,693"
"    Percent","2.0%","7.0%","(X)","(X)","(X)"
"Beaumont-Port Arthur, TX Metro Area","","","","",""
"    Estimate","(X)","4,761","22.7","62,427","39,368"
"    Percent","5.4%","2.9%","(X)","(X)","(X)"
"Beaver Dam, WI Micro Area","","","","",""
"    Estimate","(X)","3,016","23.5","71,747","42,484"
"    Percent","4.1%","6.5%","(X)","(X)","(X)"
"Beckley, WV Metro Area","","","","",""
"    Estimate","(X)","2,066","26.2","48,859","33,872"
"    Percent","7.2%","5.1%","(X)","(X)","(X)"
"Bedford, IN Micro Area","","","","",""
"    Estimate","(X)","928","26.1","64,210","36,700"
"    Percent","3.3%","4.4%","(X)","(X)","(X)"
"Beeville, TX Micro Area","","","","",""
"    Estimate","(X)","457","22.1","50,283","31,646"
"    Percent","6.4%","4.6%","(X)","(X)","(X)"
"Bellefontaine, OH Micro Area","","","","",""
"    Estimate","(X)","1,376","22.2","69,125","40,195"
"    Percent","3.5%","6.6%","(X)","(X)","(X)"
"Bellingham, WA Metro Area","","","","",""
"    Estimate","(X)","12,407","21.9","77,581","40,626"
"    Percent","4.9%","11.3%","(X)","(X)","(X)"
"Bemidji, MN Micro Area","","","","",""
"    Estimate","(X)","1,638","21.1","62,173","34,643"
"    Percent","5.4%","7.8%","(X)","(X)","(X)"
"Bend, OR Metro Area","","","","",""
"    Estimate","(X)","17,286","19.9","82,042","41,848"
"    Percent","5.2%","17.9%","(X)","(X)","(X)"
"Bennettsville, SC Micro Area","","","","",""
"    Estimate","(X)","283","26.1","34,275","30,259"
"    Percent","7.8%","3.3%","(X)","(X)","(X)"
"Bennington, VT Micro Area","","","","",""
"    Estimate","(X)","2,505","19.3","68,558","38,505"
"    Percent","4.2%","14.3%","(X)","(X)","(X)"
"Berlin, NH Micro Area","","","","",""
"    Estimate","(X)","1,096","22.3","55,247","34,353"
"    Percent","4.2%","7.8%","(X)","(X)","(X)"
"Big Rapids, MI Micro Area","","","","",""
"    Estimate","(X)","884","23.5","54,132","28,952"
"    Percent","5.5%","5.4%","(X)","(X)","(X)"
"Big Spring, TX Micro Area","","","","",""
"    Estimate","(X)","342","21.4","67,243","41,460"
"    Percent","5.2%","2.4%","(X)","(X)","(X)"
"Big Stone Gap, VA Micro Area","","","","",""
"    Estimate","(X)","914","23.0","46,680","30,796"
"    Percent","8.9%","6.7%","(X)","(X)","(X)"
"Billings, MT Metro Area","","","","",""
"    Estimate","(X)","6,736","19.7","72,377","39,187"
"    Percent","3.5%","7.3%","(X)","(X)","(X)"
"Binghamton, NY Metro Area","","","","",""
"    Estimate","(X)","7,517","20.6","61,271","36,259"
"    Percent","6.7%","7.0%","(X)","(X)","(X)"
"Birmingham-Hoover, AL Metro Area","","","","",""
"    Estimate","(X)","46,448","27.0","68,329","41,544"
"    Percent","4.9%","9.1%","(X)","(X)","(X)"
"Bismarck, ND Metro Area","","","","",""
"    Estimate","(X)","4,821","18.4","81,846","46,963"
"    Percent","2.6%","6.9%","(X)","(X)","(X)"
"Blackfoot, ID Micro Area","","","","",""
"    Estimate","(X)","1,287","22.8","69,433","32,815"
"    Percent","6.1%","6.1%","(X)","(X)","(X)"
"Blacksburg-Christiansburg, VA Metro Area","","","","",""
"    Estimate","(X)","5,803","20.3","62,017","32,482"
"    Percent","3.6%","7.7%","(X)","(X)","(X)"
"Bloomington, IL Metro Area","","","","",""
"    Estimate","(X)","11,175","18.3","75,356","40,997"
"    Percent","3.2%","13.3%","(X)","(X)","(X)"
"Bloomington, IN Metro Area","","","","",""
"    Estimate","(X)","9,609","22.2","59,998","29,293"
"    Percent","5.7%","12.3%","(X)","(X)","(X)"
"Bloomsburg-Berwick, PA Metro Area","","","","",""
"    Estimate","(X)","3,545","20.8","61,559","38,820"
"    Percent","4.2%","9.2%","(X)","(X)","(X)"
"Bluefield, WV-VA Micro Area","","","","",""
"    Estimate","(X)","1,762","23.9","47,294","35,240"
"    Percent","4.7%","4.5%","(X)","(X)","(X)"
"Bluffton, IN Micro Area","","","","",""
"    Estimate","(X)","673","23.8","68,074","38,681"
"    Percent","2.4%","4.8%","(X)","(X)","(X)"
"Blytheville, AR Micro Area","","","","",""
"    Estimate","(X)","368","19.1","50,012","33,463"
"    Percent","9.8%","2.3%","(X)","(X)","(X)"
"Bogalusa, LA Micro Area","","","","",""
"    Estimate","(X)","467","32.8","41,803","27,828"
"    Percent","10.5%","2.9%","(X)","(X)","(X)"
"Boise City, ID Metro Area","","","","",""
"    Estimate","(X)","49,761","22.7","78,138","39,287"
"    Percent","3.3%","13.2%","(X)","(X)","(X)"
"Bonham, TX Micro Area","","","","",""
"    Estimate","(X)","1,628","31.7","65,835","40,507"
"    Percent","4.7%","11.0%","(X)","(X)","(X)"
"Boone, NC Micro Area","","","","",""
"    Estimate","(X)","2,255","20.0","50,034","20,673"
"    Percent","9.3%","8.9%","(X)","(X)","(X)"
"Borger, TX Micro Area","","","","",""
"    Estimate","(X)","227","20.4","62,211","35,030"
"    Percent","4.3%","2.5%","(X)","(X)","(X)"
"Boston-Cambridge-Newton, MA-NH Metro Area","","","","",""
"    Estimate","(X)","423,768","30.8","107,117","56,419"
"    Percent","5.0%","16.3%","(X)","(X)","(X)"
"Boulder, CO Metro Area","","","","",""
"    Estimate","(X)","42,811","23.4","99,770","44,878"
"    Percent","4.4%","24.4%","(X)","(X)","(X)"
"Bowling Green, KY Metro Area","","","","",""
"    Estimate","(X)","4,429","22.4","60,914","33,030"
"    Percent","5.2%","5.3%","(X)","(X)","(X)"
"Bozeman, MT Micro Area","","","","",""
"    Estimate","(X)","9,779","18.5","83,434","37,852"
"    Percent","2.1%","14.5%","(X)","(X)","(X)"
"Bradford, PA Micro Area","","","","",""
"    Estimate","(X)","769","20.7","57,861","35,008"
"    Percent","5.3%","4.4%","(X)","(X)","(X)"
"Brainerd, MN Micro Area","","","","",""
"    Estimate","(X)","4,178","23.1","64,975","37,292"
"    Percent","5.4%","9.7%","(X)","(X)","(X)"
"Branson, MO Micro Area","","","","",""
"    Estimate","(X)","2,081","23.8","54,467","27,193"
"    Percent","5.1%","8.4%","(X)","(X)","(X)"
"Breckenridge, CO Micro Area","","","","",""
"    Estimate","(X)","3,603","19.9","100,611","47,086"
"    Percent","3.7%","19.3%","(X)","(X)","(X)"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","","","","",""
"    Estimate","(X)","15,146","29.3","93,675","47,231"
"    Percent","4.7%","11.6%","(X)","(X)","(X)"
"Brenham, TX Micro Area","","","","",""
"    Estimate","(X)","1,171","21.2","70,043","37,523"
"    Percent","2.7%","7.2%","(X)","(X)","(X)"
"Brevard, NC Micro Area","","","","",""
"    Estimate","(X)","1,371","22.1","62,056","33,955"
"    Percent","4.0%","10.0%","(X)","(X)","(X)"
"Bridgeport-Stamford-Norwalk, CT Metro Area","","","","",""
"    Estimate","(X)","72,486","30.7","107,351","52,104"
"    Percent","6.2%","15.2%","(X)","(X)","(X)"
"Brookhaven, MS Micro Area","","","","",""
"    Estimate","(X)","410","27.6","47,069","34,863"
"    Percent","4.3%","3.0%","(X)","(X)","(X)"
"Brookings, OR Micro Area","","","","",""
"    Estimate","(X)","1,414","17.1","64,300","37,989"
"    Percent","7.2%","16.4%","(X)","(X)","(X)"
"Brookings, SD Micro Area","","","","",""
"    Estimate","(X)","1,857","14.3","64,438","32,169"
"    Percent","3.9%","9.9%","(X)","(X)","(X)"
"Brownsville, TN Micro Area","","","","",""
"    Estimate","(X)","253","26.4","44,890","31,760"
"    Percent","8.5%","3.5%","(X)","(X)","(X)"
"Brownsville-Harlingen, TX Metro Area","","","","",""
"    Estimate","(X)","12,057","20.3","47,435","28,441"
"    Percent","5.7%","7.2%","(X)","(X)","(X)"
"Brownwood, TX Micro Area","","","","",""
"    Estimate","(X)","701","18.1","53,792","33,926"
"    Percent","3.8%","4.2%","(X)","(X)","(X)"
"Brunswick, GA Metro Area","","","","",""
"    Estimate","(X)","3,313","22.2","60,777","35,767"
"    Percent","4.2%","6.9%","(X)","(X)","(X)"
"Bucyrus-Galion, OH Micro Area","","","","",""
"    Estimate","(X)","870","24.1","52,486","35,739"
"    Percent","5.5%","4.6%","(X)","(X)","(X)"
"Buffalo-Cheektowaga, NY Metro Area","","","","",""
"    Estimate","(X)","51,827","21.5","67,638","42,363"
"    Percent","5.1%","9.4%","(X)","(X)","(X)"
"Burley, ID Micro Area","","","","",""
"    Estimate","(X)","1,110","16.3","63,555","34,466"
"    Percent","3.1%","5.3%","(X)","(X)","(X)"
"Burlington, IA-IL Micro Area","","","","",""
"    Estimate","(X)","884","18.3","58,890","36,890"
"    Percent","3.6%","4.2%","(X)","(X)","(X)"
"Burlington, NC Metro Area","","","","",""
"    Estimate","(X)","6,799","25.9","60,866","37,142"
"    Percent","5.0%","8.4%","(X)","(X)","(X)"
"Burlington-South Burlington, VT Metro Area","","","","",""
"    Estimate","(X)","17,257","22.8","86,183","44,211"
"    Percent","3.8%","14.1%","(X)","(X)","(X)"
"Butte-Silver Bow, MT Micro Area","","","","",""
"    Estimate","(X)","1,045","16.6","56,297","32,641"
"    Percent","4.6%","6.4%","(X)","(X)","(X)"
"Cadillac, MI Micro Area","","","","",""
"    Estimate","(X)","983","23.0","58,374","34,353"
"    Percent","6.5%","4.8%","(X)","(X)","(X)"
"Calhoun, GA Micro Area","","","","",""
"    Estimate","(X)","1,703","23.4","57,555","36,385"
"    Percent","3.0%","6.5%","(X)","(X)","(X)"
"California-Lexington Park, MD Metro Area","","","","",""
"    Estimate","(X)","7,955","30.1","113,668","60,329"
"    Percent","3.7%","13.7%","(X)","(X)","(X)"
"Cambridge, MD Micro Area","","","","",""
"    Estimate","(X)","1,001","26.5","57,490","34,958"
"    Percent","5.5%","6.8%","(X)","(X)","(X)"
"Cambridge, OH Micro Area","","","","",""
"    Estimate","(X)","511","22.9","53,901","34,202"
"    Percent","4.6%","3.1%","(X)","(X)","(X)"
"Camden, AR Micro Area","","","","",""
"    Estimate","(X)","168","23.1","50,152","34,051"
"    Percent","6.9%","1.7%","(X)","(X)","(X)"
"Campbellsville, KY Micro Area","","","","",""
"    Estimate","(X)","1,472","24.7","56,136","33,829"
"    Percent","6.1%","9.3%","(X)","(X)","(X)"
"Cañon City, CO Micro Area","","","","",""
"    Estimate","(X)","1,872","26.3","56,165","36,973"
"    Percent","4.8%","11.2%","(X)","(X)","(X)"
"Canton-Massillon, OH Metro Area","","","","",""
"    Estimate","(X)","16,971","22.1","62,859","37,323"
"    Percent","4.3%","9.0%","(X)","(X)","(X)"
"Cape Coral-Fort Myers, FL Metro Area","","","","",""
"    Estimate","(X)","37,238","27.9","69,368","37,291"
"    Percent","4.5%","11.4%","(X)","(X)","(X)"
"Cape Girardeau, MO-IL Metro Area","","","","",""
"    Estimate","(X)","3,103","21.6","62,671","34,117"
"    Percent","3.6%","6.6%","(X)","(X)","(X)"
"Carbondale-Marion, IL Metro Area","","","","",""
"    Estimate","(X)","3,923","22.1","53,747","34,060"
"    Percent","5.8%","6.9%","(X)","(X)","(X)"
"Carlsbad-Artesia, NM Micro Area","","","","",""
"    Estimate","(X)","1,519","19.9","77,458","45,105"
"    Percent","4.2%","5.6%","(X)","(X)","(X)"
"Carroll, IA Micro Area","","","","",""
"    Estimate","(X)","635","14.3","68,041","42,114"
"    Percent","1.9%","6.0%","(X)","(X)","(X)"
"Carson City, NV Metro Area","","","","",""
"    Estimate","(X)","1,834","21.1","67,465","38,574"
"    Percent","4.7%","6.9%","(X)","(X)","(X)"
"Casper, WY Metro Area","","","","",""
"    Estimate","(X)","3,159","17.6","69,104","41,776"
"    Percent","3.5%","7.9%","(X)","(X)","(X)"
"Cedar City, UT Micro Area","","","","",""
"    Estimate","(X)","2,650","15.9","63,005","28,518"
"    Percent","3.3%","9.9%","(X)","(X)","(X)"
"Cedar Rapids, IA Metro Area","","","","",""
"    Estimate","(X)","16,120","19.9","75,477","43,889"
"    Percent","3.6%","11.4%","(X)","(X)","(X)"
"Cedartown, GA Micro Area","","","","",""
"    Estimate","(X)","823","30.2","51,956","35,446"
"    Percent","4.8%","4.6%","(X)","(X)","(X)"
"Celina, OH Micro Area","","","","",""
"    Estimate","(X)","681","19.0","73,278","41,794"
"    Percent","2.0%","3.2%","(X)","(X)","(X)"
"Central City, KY Micro Area","","","","",""
"    Estimate","(X)","283","25.6","50,935","36,634"
"    Percent","4.9%","2.3%","(X)","(X)","(X)"
"Centralia, IL Micro Area","","","","",""
"    Estimate","(X)","770","19.8","59,099","35,632"
"    Percent","8.1%","4.8%","(X)","(X)","(X)"
"Centralia, WA Micro Area","","","","",""
"    Estimate","(X)","2,513","28.0","67,247","39,823"
"    Percent","6.3%","7.5%","(X)","(X)","(X)"
"Chambersburg-Waynesboro, PA Metro Area","","","","",""
"    Estimate","(X)","5,968","24.1","71,808","42,472"
"    Percent","3.4%","8.0%","(X)","(X)","(X)"
"Champaign-Urbana, IL Metro Area","","","","",""
"    Estimate","(X)","11,975","17.7","62,281","34,714"
"    Percent","4.8%","11.2%","(X)","(X)","(X)"
"Charleston, WV Metro Area","","","","",""
"    Estimate","(X)","7,158","24.8","54,473","37,324"
"    Percent","5.8%","7.0%","(X)","(X)","(X)"
"Charleston-Mattoon, IL Micro Area","","","","",""
"    Estimate","(X)","1,676","18.4","56,476","31,830"
"    Percent","6.0%","6.0%","(X)","(X)","(X)"
"Charleston-North Charleston, SC Metro Area","","","","",""
"    Estimate","(X)","43,060","27.1","77,460","44,726"
"    Percent","4.1%","10.7%","(X)","(X)","(X)"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","","","","",""
"    Estimate","(X)","214,845","26.8","76,177","43,712"
"    Percent","4.7%","16.1%","(X)","(X)","(X)"
"Charlottesville, VA Metro Area","","","","",""
"    Estimate","(X)","18,200","23.7","86,188","44,024"
"    Percent","3.6%","16.9%","(X)","(X)","(X)"
"Chattanooga, TN-GA Metro Area","","","","",""
"    Estimate","(X)","27,233","23.8","65,387","38,547"
"    Percent","4.5%","10.2%","(X)","(X)","(X)"
"Cheyenne, WY Metro Area","","","","",""
"    Estimate","(X)","3,803","17.2","76,282","43,148"
"    Percent","3.5%","7.5%","(X)","(X)","(X)"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","","","","",""
"    Estimate","(X)","630,865","31.0","85,087","46,819"
"    Percent","6.2%","13.4%","(X)","(X)","(X)"
"Chico, CA Metro Area","","","","",""
"    Estimate","(X)","9,799","21.4","66,085","34,068"
"    Percent","7.1%","10.7%","(X)","(X)","(X)"
"Chillicothe, OH Micro Area","","","","",""
"    Estimate","(X)","1,202","27.4","58,048","40,373"
"    Percent","5.7%","3.9%","(X)","(X)","(X)"
"Cincinnati, OH-KY-IN Metro Area","","","","",""
"    Estimate","(X)","123,234","25.1","76,247","43,318"
"    Percent","4.4%","11.2%","(X)","(X)","(X)"
"Clarksburg, WV Micro Area","","","","",""
"    Estimate","(X)","2,339","24.0","55,838","37,121"
"    Percent","6.0%","6.2%","(X)","(X)","(X)"
"Clarksdale, MS Micro Area","","","","",""
"    Estimate","(X)","550","19.9","36,075","26,851"
"    Percent","10.8%","7.4%","(X)","(X)","(X)"
"Clarksville, TN-KY Metro Area","","","","",""
"    Estimate","(X)","8,024","25.2","62,188","37,192"
"    Percent","6.2%","5.5%","(X)","(X)","(X)"
"Clearlake, CA Micro Area","","","","",""
"    Estimate","(X)","3,545","31.0","56,259","34,898"
"    Percent","10.4%","14.6%","(X)","(X)","(X)"
"Cleveland, MS Micro Area","","","","",""
"    Estimate","(X)","280","19.2","37,845","28,382"
